"","GN","UnterGN","Quartal","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"7188","12181",1,"12/01",2012-03-27,"Hong Kong",28400,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7189","12182",1,"12/01",2012-03-27,"China",64800,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7190","12183",1,"12/01",2012-03-27,"Russland",95478,"GKV","2B001a","2","B","001a","Tracker"
"7191","12184",1,"12/03",2012-08-03,"Brasilien",12000000,"GKV","0A001g|17g","0","A","001g","Tracker"
"7192","12185",1,"12/01",2012-03-27,"Russland",149515,"GKV","2B001a","2","B","001a","Tracker"
"7193","12186",1,"12/01",2012-03-27,"Russland",263405,"GKV","2B001a","2","B","001a","Tracker"
"7194","12187",1,"12/01",2012-03-27,"Russland",140177,"GKV","2B201a","2","B","201a","Tracker"
"7195","12189",1,"12/01",2012-03-27,"Marokko",41381,"GKV","3A001g2","3","A","001g2","Tracker"
"7196","12190",1,"12/01",2012-03-27,"Marokko",41381,"GKV","3A001g2","3","A","001g2","Tracker"
"7197","12191",1,"12/01",2012-03-27,"Malaysia",16400,"GKV","6A002a3f","6","A","002a3f","Tracker"
"7198","12191",2,"12/01",2012-03-27,"Malaysia",32967,"ML (GKV)","5b","5","b","","Tracker"
"7199","12191",3,"12/01",2012-03-27,"Malaysia",73565,"GKV","6A002c1","6","A","002c1","Tracker"
"7200","12192",1,"12/01",2012-03-28,"Südafrika",162000,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"7201","12193",1,"12/01",2012-03-28,"Israel",169371,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"7202","12194",1,"12/01",2012-03-28,"Andorra",340,"ML (GKV)","3a","3","a","","Tracker"
"7203","12195",1,"12/01",2012-03-28,"Brasilien",225513,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"7204","12196",1,"12/01",2012-03-28,"Brasilien",244309,"GKV","2B201a1","2","B","201a1","Tracker"
"7205","12197",1,"12/01",2012-03-28,"China",215283,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"7206","12198",1,"12/01",2012-03-29,"Slowenien",66946,"ML (GKV)","10g","10","g","","Tracker"
"7207","12199",1,"12/01",2012-03-29,"Hong Kong",733500,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7208","12200",1,"12/01",2012-03-29,"Hong Kong",832500,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7209","12201",1,"12/01",2012-03-29,"Hong Kong",73800,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7210","12202",1,"12/01",2012-03-29,"Taiwan",28232,"GKV","2D002","2","D","002","Tracker"
"7211","12203",1,"12/02",2012-04-11,"Südafrika",4945,"ML (GKV)","1a","1","a","","Tracker"
"7212","12204",1,"12/01",2012-03-29,"Russland",449457,"GKV","1B231a","1","B","231a","Tracker"
"7213","12205",1,"12/01",2012-03-29,"Estland",7299,"GKV","6A002c1","6","A","002c1","Tracker"
"7214","12205",2,"12/01",2012-03-29,"Estland",6651,"GKV","6A002c1","6","A","002c1","Tracker"
"7215","12205",3,"12/01",2012-03-29,"Estland",7611,"GKV","6A002c1","6","A","002c1","Tracker"
